year,data_mean_global,data_mean_nh,data_mean_sh
523,662.226993658243,669.908184734444,654.545802582044
524,662.478062510897,670.108234589446,654.847890432347
525,662.953002017967,670.532125720547,655.373878315387
526,663.283996397407,670.812331483619,655.755661311196
527,663.547055905068,671.033281316984,656.060830493152
528,663.951983985423,671.449598208257,656.454369762589
529,664.221040808114,671.739023373277,656.703058242951
530,664.596017759059,672.134226241189,657.057809276928
531,664.955009796779,672.513584456883,657.396435136674
532,665.317055885123,672.914434077825,657.719677692422
533,665.855016713801,673.602506970764,658.107526456837
534,666.37803751433,674.294301711817,658.461773316843
535,666.965039766838,675.049987695877,658.880091837799
536,667.574006289813,675.827731029278,659.320281550348
537,668.031013159566,676.435774525011,659.626251794122
538,668.341992450103,676.790941140683,659.893043759523
539,668.566052629766,677.041263058302,660.09084220123
540,668.904979215275,677.406440098971,660.40351833158
541,669.14406166674,677.671822041571,660.616301291908
542,669.449929582603,677.977797611177,660.922061554029
543,669.355034033406,677.726055319241,660.984012747571
544,669.37401493938,677.561579128028,661.186450750732
545,669.446973459455,677.451291584388,661.442655334522
546,669.25696407634,677.07821407824,661.43571407444
547,669.16419686001,676.926540417467,661.401853302554
548,670.216075775792,678.667002975697,661.765148575887
549,671.531012722218,680.796039137392,662.265986307043
550,672.700142388335,682.779137892045,662.621146884625
551,673.929835155142,684.740448741088,663.119221569195
552,674.123120335926,685.171018453325,663.075222218526
553,674.581983658534,685.783629160561,663.380338156506
554,674.983050335729,686.339035564521,663.627065106936
555,675.431012854967,686.941052175983,663.92097353395
556,675.834025336621,687.498292988753,664.169757684488
557,676.200017802076,688.018443148754,664.381592455399
558,676.568045972371,688.540610166482,664.595481778259
559,676.95796199453,689.053476541024,664.862447448036
560,677.021021882122,689.052361012739,664.989682751504
561,677.061002746775,688.996630984684,665.125374508866
562,677.093013993675,688.933045778063,665.252982209287
563,677.193046278507,688.937352487814,665.4487400692
564,677.299872259247,688.882096832564,665.71764768593
565,676.675016817189,687.696399461261,665.653634173117
566,676.102978497862,686.496199585469,665.709757410256
567,675.552951926993,685.318396468688,665.787507385297
568,675.02313697378,684.231200320898,665.815073626662
569,675.309961990275,684.384035782256,666.235888198294
570,675.483039976834,684.49468322936,666.471396724307
571,675.664980676927,684.613689371859,666.716271981995
572,675.737026629387,684.623133170617,666.850920088158
573,675.849998333038,684.673222078198,667.026774587879
574,675.98705586484,684.77142401508,667.2026877146
575,676.342999357587,685.231621969898,667.454376745276
576,676.654041669609,685.671122868713,667.636960470505
577,676.999972115681,686.145302191317,667.854642040044
578,677.155066660378,686.428925658895,667.881207661861
579,677.520975762581,686.922899765975,668.119051759186
580,677.714039976164,687.244580641491,668.183499310837
581,677.903942760845,687.525085369677,668.282800152014
582,677.713004299966,687.19974623769,668.226262362243
583,677.460982886164,686.775161834188,668.14680393814
584,677.183996860722,686.325901088533,668.042092632911
585,676.913000121441,685.882424354789,667.943575888093
586,676.622922311671,685.379043076505,667.866801546836
587,675.904982772935,684.202187501316,667.607778044554
588,675.183967046947,682.980777733227,667.387156360666
589,674.456961862719,681.753668924284,667.160254801154
590,673.747057095779,680.599658849878,666.894455341679
591,673.573978141473,680.319435422526,666.828520860419
592,673.373004253722,680.068196754307,666.677811753136
593,673.193989651857,679.838471818617,666.549507485096
594,673.007993591495,679.602093991635,666.413893191355
595,672.792987598185,679.336496978086,666.249478218283
596,672.581023441106,679.089607192653,666.072439689558
597,672.547988130709,679.114641202705,665.981335058712
598,672.454001224846,679.094653196051,665.813349253641
599,672.353991861181,679.068330432662,665.6396532897
